bandwidth,delay_ms,rate_index,iterations,avg_throughput_mbps,std_throughput_mbps,min_throughput_mbps,max_throughput_mbps,avg_retransmits,total_retransmits,packet_loss_pct
20,100,44,3,18.84,0.0,18.84,18.84,0.0,0,0
20,100,45,3,18.84,0.0,18.84,18.84,0.0,0,0
20,100,46,3,18.84,0.0,18.84,18.84,0.0,0,0
20,100,47,3,18.3,0.77,17.21,18.84,799.7,2399,0
20,100,94,3,18.88,0.05,18.84,18.95,0.0,0,0
20,100,95,3,17.52,1.88,14.87,18.89,445.0,1335,0
20,100,96,3,18.83,0.0,18.83,18.84,0.0,0,0
20,100,97,3,18.86,0.01,18.85,18.87,0.0,0,0
20,100,104,3,18.84,0.01,18.84,18.86,0.0,0,0
20,100,105,3,18.84,0.03,18.81,18.87,0.0,0,0
20,100,106,3,18.32,0.7,17.33,18.83,804.7,2414,0
20,100,107,3,18.86,0.04,18.83,18.91,0.0,0,0
50,10,34,3,32.2,1.61,29.93,33.41,35.3,106,0
50,10,35,3,43.88,0.49,43.19,44.25,6.3,19,0
50,10,36,3,46.65,0.62,45.78,47.19,22.0,66,0
50,10,37,3,47.67,0.02,47.64,47.69,22.3,67,0
50,10,44,3,47.76,0.09,47.64,47.85,48.0,144,0
50,10,45,3,46.3,2.06,43.39,47.78,812.0,2436,0
50,10,46,3,47.73,0.03,47.69,47.77,32.0,96,0
50,10,47,3,47.76,0.0,47.76,47.76,60.0,180,0
50,10,94,3,47.74,0.02,47.72,47.76,29.7,89,0
50,10,95,3,47.75,0.01,47.74,47.76,39.3,118,0
50,10,96,3,46.33,1.98,43.53,47.76,835.0,2505,0
50,10,97,3,47.74,0.02,47.72,47.76,65.3,196,0
50,10,104,3,47.76,0.0,47.75,47.76,61.3,184,0
50,10,105,3,47.75,0.01,47.74,47.76,51.0,153,0
50,10,106,3,47.73,0.01,47.72,47.75,51.0,153,0
50,10,107,3,46.39,1.93,43.66,47.75,819.3,2458,0
50,50,34,3,32.57,0.29,32.16,32.82,7.0,21,0
50,50,35,3,39.81,4.86,32.97,43.81,141.7,425,0
