Rate,Rate_Name,Bandwidth,Delay,TCP-AAD_Avg_Mbps,Default_Avg_Mbps,Improvement_%
36,HT20-SGI-MCS6,100,100,36.278867180844706,46.06630803366948,-21.24641906547235
36,HT20-SGI-MCS6,100,nodelay,48.00983493369056,49.9105455978958,-3.808234595386527
36,HT20-SGI-MCS6,nolim,10,45.87784206662225,48.03473314973341,-4.490273894907924
36,HT20-SGI-MCS6,nolim,50,43.66429786691154,44.36458898408419,-1.5784911642568882
36,HT20-SGI-MCS6,nolim,100,39.937332153817124,42.524190547017156,-6.083263102538906
36,HT20-SGI-MCS6,nolim,nodelay,46.820852051155335,48.302513685210606,-3.0674627902624674
44,HT20-SGI-MCS12,20,10,19.84017592638116,19.840223937516452,-0.00024198887796129164
44,HT20-SGI-MCS12,20,50,19.362425012881864,18.954983876763357,2.149519824271564
44,HT20-SGI-MCS12,20,100,19.536812814175107,19.607303249133658,-0.3595111171734698
44,HT20-SGI-MCS12,20,nodelay,19.32742436773968,19.235001662109863,0.4804923194359675
44,HT20-SGI-MCS12,50,10,47.053860143952654,47.1603876359512,-0.22588341050305658
44,HT20-SGI-MCS12,50,50,48.312584995898305,48.324696115260004,-0.025061966934694965
44,HT20-SGI-MCS12,50,100,45.10964884295309,41.07816172245997,9.81418581418375
44,HT20-SGI-MCS12,50,nodelay,48.592338047813776,48.26640060223264,0.6752884853942388
44,HT20-SGI-MCS12,100,10,63.55112927690053,65.14711660068126,-2.4498203559235288
44,HT20-SGI-MCS12,100,50,55.97785337851148,56.64270151370123,-1.1737578141977054
44,HT20-SGI-MCS12,100,100,59.45096248894779,61.886279991287296,-3.9351492813631164
44,HT20-SGI-MCS12,100,nodelay,61.19792425314924,63.86552020840402,-4.176895367876069
44,HT20-SGI-MCS12,nolim,10,63.23690877084085,65.39136307742245,-3.2947077491422867
44,HT20-SGI-MCS12,nolim,50,61.46570554169882,63.77335000437729,-3.618509083371161
44,HT20-SGI-MCS12,nolim,100,54.59261607370619,48.592349340135975,12.348171708203775
44,HT20-SGI-MCS12,nolim,nodelay,59.25180292698791,66.17088123969276,-10.456379276016698
45,HT20-SGI-MCS13,20,10,19.53732021497854,19.385607174792934,0.7826065947672622
45,HT20-SGI-MCS13,20,50,19.653534591745416,19.72351987158802,-0.35483159343895676
45,HT20-SGI-MCS13,20,100,19.583420230577655,19.548485559641396,0.178707812580547
45,HT20-SGI-MCS13,20,nodelay,19.012985705764997,18.931364741239236,0.4311414715282626
45,HT20-SGI-MCS13,50,10,48.545648041987654,48.65029229062545,-0.21509479945706544
45,HT20-SGI-MCS13,50,50,47.614238635576974,43.536037142039234,9.367415505073039
45,HT20-SGI-MCS13,50,100,47.67249887772345,47.603327668432776,0.1453075082743474
45,HT20-SGI-MCS13,50,nodelay,48.418560963085184,48.487734118495126,-0.14266114238478428
45,HT20-SGI-MCS13,100,10,65.67153757663215,80.95737191229695,-18.88133714644827
45,HT20-SGI-MCS13,100,50,71.6945478543917,77.91593892200952,-7.984747605807792
45,HT20-SGI-MCS13,100,100,65.52131410301689,55.047614978151124,19.026617463849924
45,HT20-SGI-MCS13,100,nodelay,78.48685807455225,85.91987666256072,-8.651104816177408
45,HT20-SGI-MCS13,nolim,10,77.0420874791815,86.0115323592627,-10.428188678951336
45,HT20-SGI-MCS13,nolim,50,74.7814216207521,68.88415432418648,8.561137687502942
45,HT20-SGI-MCS13,nolim,100,67.22224575960425,71.94026474902903,-6.558245241220711
45,HT20-SGI-MCS13,nolim,nodelay,79.63965170603915,86.38459994798497,-7.808044774192596
46,HT20-SGI-MCS14,20,10,19.85167823730891,19.75880789411128,0.4700199713228136
46,HT20-SGI-MCS14,20,50,19.851306751237036,19.746845739232768,0.529001002913223
46,HT20-SGI-MCS14,20,100,18.476818810091938,19.455331716583036,-5.029535968574866
46,HT20-SGI-MCS14,20,nodelay,19.35090683315209,19.38568000559021,-0.1793755618997679
46,HT20-SGI-MCS14,50,10,48.126871460367546,47.27562755069116,1.8005978001320877
46,HT20-SGI-MCS14,50,50,48.04536822322653,48.382829592029324,-0.6974816720070174
46,HT20-SGI-MCS14,50,100,47.61427149895925,47.672204465301384,-0.12152357331052979
46,HT20-SGI-MCS14,50,nodelay,46.54258419405243,47.77787169448516,-2.5854803837470035
46,HT20-SGI-MCS14,100,10,79.37219052392531,93.97120176651606,-15.535622582399162
46,HT20-SGI-MCS14,100,50,57.78456347484034,86.67719609875486,-33.33360321323266
46,HT20-SGI-MCS14,100,100,53.893728683232816,76.85659438468097,-29.87754776970069
46,HT20-SGI-MCS14,100,nodelay,80.61981999066354,93.37554792419063,-13.660672646208354
46,HT20-SGI-MCS14,nolim,10,83.54286800961293,88.93663561075485,-6.064730877327751
46,HT20-SGI-MCS14,nolim,50,70.42645883440278,89.78745974147434,-21.563145858918187
46,HT20-SGI-MCS14,nolim,100,51.94775606188195,79.82746584390091,-34.92495908179837
46,HT20-SGI-MCS14,nolim,nodelay,78.10167846630885,92.95567452235176,-15.979654961754022
94,HT40-SGI-MCS4,20,10,19.863323876571442,19.653602131835044,1.0670906194681231
94,HT40-SGI-MCS4,20,50,18.907582065512965,19.059532226144444,-0.7972397162142582
94,HT40-SGI-MCS4,20,100,19.560286422540134,19.583117297612592,-0.11658447797400114
94,HT40-SGI-MCS4,20,nodelay,18.919738183284696,18.88476177382351,0.1852096938266305
